[2025-12-22 06:26:33,080] INFO POST /api/token/ 200 850.82ms
[2025-12-22 06:26:35,426] INFO GET /api/students/ 200 72.43ms
[2025-12-22 06:27:59,160] INFO GET / 404 4.43ms
[2025-12-22 06:28:01,243] INFO GET /api/students/ 200 3.47ms
[2025-12-22 06:28:02,092] INFO GET /api/students/ 200 74.04ms
[2025-12-22 06:28:02,900] INFO GET /api/students/ 200 2.27ms
[2025-12-22 06:28:03,672] INFO GET /api/students/ 200 2.59ms
[2025-12-22 06:28:04,483] INFO GET /api/students/ 200 2.22ms
[2025-12-22 06:28:05,218] INFO GET /api/students/ 200 2.53ms
[2025-12-22 06:28:05,999] INFO GET /api/students/ 200 2.44ms
[2025-12-22 06:34:12,107] INFO GET / 404 4.43ms
[2025-12-22 06:34:22,282] INFO GET / 404 2.59ms
[2025-12-22 07:25:19,202] INFO GET / 404 2.67ms
[2025-12-22 07:31:27,883] INFO OPTIONS / 404 2.66ms
[2025-12-22 07:41:18,391] INFO GET /admin/ 200 59.77ms
[2025-12-22 07:41:22,977] INFO GET /admin/api/student/ 200 56.69ms
[2025-12-22 07:41:23,071] INFO GET /admin/jsi18n/ 200 4.99ms
[2025-12-22 07:41:23,880] INFO GET /admin/api/substudent/ 200 46.61ms
[2025-12-22 07:41:23,953] INFO GET /admin/jsi18n/ 200 3.6ms
[2025-12-22 07:44:17,168] INFO GET /admin/api/substudent/ 200 14.12ms
[2025-12-22 07:44:17,237] INFO GET /admin/jsi18n/ 200 2.34ms
[2025-12-22 07:46:24,702] INFO OPTIONS / 404 2.94ms
[2025-12-22 07:54:19,367] INFO GET /admin/api/substudent/ 200 40.23ms
[2025-12-22 07:54:19,443] INFO GET /admin/jsi18n/ 200 6.4ms
[2025-12-22 07:55:02,110] INFO GET /admin/api/substudent/ 200 14.91ms
[2025-12-22 07:55:02,192] INFO GET /admin/jsi18n/ 200 2.97ms
[2025-12-22 07:55:03,895] INFO GET /admin/api/substudent/ 200 16.23ms
[2025-12-22 07:55:03,965] INFO GET /admin/jsi18n/ 200 2.86ms
[2025-12-22 08:27:15,483] INFO GET / 404 2.96ms
[2025-12-22 08:36:51,662] INFO POST /hello.world?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input 404 3.15ms
[2025-12-22 08:36:51,806] INFO POST /?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input 404 2.96ms
